	Variable1	Variable2	Correlation	Variable1_type	Variable2_type	P-value
38755	RPS12	RPS5	0.423376438895157	Genes	Genes	1.02540350282435e-88
38757	RPS12	RPL3	0.342327720297294	Genes	Genes	1.9483418486391798e-56
38760	RPS12	MIF	0.350099051181539	Genes	Genes	3.84839940848732e-59
38762	RPS12	IGLV2-14	0.393173544851543	Genes	Genes	1.3315178103292e-75
38764	RPS12	IGLC2	0.469083532493434	Genes	Genes	2.5255471871305807e-111
38765	RPS12	IGLC3	0.319558408420964	Genes	Genes	6.00097218532932e-49
38768	RPS12	MT-ND1	0.331546913118956	Genes	Genes	8.252807135511891e-53
38769	RPS12	MT-ND2	0.454055571164267	Genes	Genes	1.6800632482338198e-103
38770	RPS12	MT-CO1	0.405706537683473	Genes	Genes	7.000668673158078e-81
38771	RPS12	MT-CO2	0.400705155884071	Genes	Genes	9.52484432006814e-79
38773	RPS12	MT-ATP6	0.441286882921529	Genes	Genes	3.6792861411767403e-97
38774	RPS12	MT-CO3	0.460965255208907	Genes	Genes	4.7358339580209696e-107
38775	RPS12	MT-ND3	0.417629161102417	Genes	Genes	4.088714549989901e-86
38776	RPS12	MT-ND4	0.409278864283514	Genes	Genes	1.98907575107036e-82
38778	RPS12	MT-CYB	0.395854329437684	Genes	Genes	1.0347676347156701e-76
39175	RPS12	Texture_Entropy_Cy5_3_00_256	0.302479287302544	Genes	CP features	9.577130239715578e-44
39176	RPS12	Texture_Entropy_Cy5_3_01_256	0.302862718455732	Genes	CP features	7.380999750769851e-44
39177	RPS12	Texture_Entropy_Cy5_3_02_256	0.303200136064403	Genes	CP features	5.868645081987931e-44
39178	RPS12	Texture_Entropy_Cy5_3_03_256	0.301810796021115	Genes	CP features	1.5062822454271099e-43
39224	EEF1A1	HLA-B	0.363338721501023	Genes	Genes	6.219430329259999e-64
39231	EEF1A1	ACTB	0.313033542776845	Genes	Genes	6.40266993504039e-47
39238	EEF1A1	RPL10	0.312232939175733	Genes	Genes	1.1251876815670002e-46
39242	EEF1A1	RPS4X	0.333661760357833	Genes	Genes	1.64877065359687e-53
39243	EEF1A1	RPL30	0.321269199042602	Genes	Genes	1.7346948785732897e-49
39245	EEF1A1	RPS20	0.336206439843693	Genes	Genes	2.32862976675319e-54
39248	EEF1A1	RPL8	0.328961439104563	Genes	Genes	5.8133624474222205e-52
39252	EEF1A1	RPL35	0.346091620315278	Genes	Genes	9.7575680296101e-58
39253	EEF1A1	RPL12	0.322384065252093	Genes	Genes	7.67549467805169e-50
39255	EEF1A1	RPL7A	0.331211812529576	Genes	Genes	1.0639214075524501e-52
39256	EEF1A1	RPS6	0.363043743265712	Genes	Genes	7.999103245529699e-64
39259	EEF1A1	RPS3	0.368589855160305	Genes	Genes	6.77406748368921e-66
39260	EEF1A1	RPLP2	0.366766005690049	Genes	Genes	3.2828838411626402e-65
39266	EEF1A1	RPL27A	0.340415886629357	Genes	Genes	8.781339208087349e-56
39267	EEF1A1	RPS13	0.322531563674585	Genes	Genes	6.889226247524041e-50
39269	EEF1A1	FAU	0.335345962681581	Genes	Genes	4.52316359747239e-54
39272	EEF1A1	RPS24	0.32043992913545	Genes	Genes	3.1666732609100098e-49
39279	EEF1A1	GAPDH	0.317179019120206	Genes	Genes	3.3415171912964496e-48
39291	EEF1A1	RPLP0	0.300792982166746	Genes	Genes	2.9929399214531697e-43
39301	EEF1A1	IGHM	0.387416959647119	Genes	Genes	2.9748789843553604e-73
39306	EEF1A1	RPLP1	0.340500172234221	Genes	Genes	8.220714799685861e-56
39313	EEF1A1	RPS15A	0.301614896136602	Genes	Genes	1.7194477474750599e-43
39317	EEF1A1	RPL13	0.35936832734171	Genes	Genes	1.7976601379935898e-62
39319	EEF1A1	RPS2	0.349438382920478	Genes	Genes	6.57801751529821e-59
39322	EEF1A1	COX4I1	0.302701486534439	Genes	Genes	8.233927487759409e-44
39325	EEF1A1	RPL27	0.344073088374407	Genes	Genes	4.88321029057297e-57
39330	EEF1A1	RPL19	0.384995474495639	Genes	Genes	2.7972817418235995e-72
39335	EEF1A1	RPL38	0.330907955625848	Genes	Genes	1.3388661396245001e-52
39341	EEF1A1	RPS21	0.353869446739579	Genes	Genes	1.75675092872834e-60
39350	EEF1A1	RPS16	0.374790861883634	Genes	Genes	2.8970955740539e-68
39352	EEF1A1	RPL28	0.358617062570762	Genes	Genes	3.3784706348453503e-62
39355	EEF1A1	RPS15	0.318052369822209	Genes	Genes	1.78194266370515e-48
39356	EEF1A1	RPS28	0.37486099534525	Genes	Genes	2.72298722589832e-68
39357	EEF1A1	RPL18	0.3580559959198	Genes	Genes	5.406905124877089e-62
39358	EEF1A1	RPS11	0.346783207401746	Genes	Genes	5.60423092911719e-58
39362	EEF1A1	RPL13A	0.35526735198307	Genes	Genes	5.523745950129891e-61
39366	EEF1A1	RPS9	0.303136307778378	Genes	Genes	6.128667828526781e-44
39368	EEF1A1	UBA52	0.315615093305403	Genes	Genes	1.0234930904283001e-47
39369	EEF1A1	RPL36	0.354325592854487	Genes	Genes	1.2053619905018101e-60
39378	EEF1A1	RPS19	0.363315199891688	Genes	Genes	6.34613117375274e-64
39380	EEF1A1	RPS5	0.339911006954877	Genes	Genes	1.30493559667517e-55
39389	EEF1A1	IGLC2	0.359337046204927	Genes	Genes	1.8456893209041002e-62
39394	EEF1A1	MT-ND2	0.338558811381455	Genes	Genes	3.75106447538078e-55
39395	EEF1A1	MT-CO1	0.308069656791808	Genes	Genes	2.06761294333452e-45
39398	EEF1A1	MT-ATP6	0.342302386426849	Genes	Genes	1.9875418223452002e-56
39399	EEF1A1	MT-CO3	0.348948972793823	Genes	Genes	9.78006121554712e-59
39400	EEF1A1	MT-ND3	0.330129858510038	Genes	Genes	2.41060214459073e-52
39401	EEF1A1	MT-ND4	0.334279638787375	Genes	Genes	1.02657584486914e-53
39403	EEF1A1	MT-CYB	0.313731811940495	Genes	Genes	3.9061216397919203e-47
39736	TUBB	HLA-C	0.300846147535034	Genes	Genes	2.8879622838927706e-43
39737	TUBB	HLA-B	0.365701697900834	Genes	Genes	8.21107560795734e-65
39744	TUBB	ACTB	0.354418740678369	Genes	Genes	1.1160092576487697e-60
39751	TUBB	RPL10	0.319585420117042	Genes	Genes	5.88582153820978e-49
39755	TUBB	RPS4X	0.32472685805389	Genes	Genes	1.3683124713189602e-50
39756	TUBB	RPL30	0.352661703736596	Genes	Genes	4.747597994051039e-60
39758	TUBB	RPS20	0.323840419746496	Genes	Genes	2.6319956592700997e-50
39761	TUBB	RPL8	0.350213303564426	Genes	Genes	3.5054495607016308e-59
39765	TUBB	RPL35	0.384103239507375	Genes	Genes	6.369782277736979e-72
39766	TUBB	RPL12	0.345682919960707	Genes	Genes	1.3527590790781898e-57
39768	TUBB	RPL7A	0.365612585883424	Genes	Genes	8.86184033676377e-65
39769	TUBB	RPS6	0.39804396580717	Genes	Genes	1.2572456578295899e-77
39772	TUBB	RPS3	0.3828202962644	Genes	Genes	2.06418798897431e-71
39773	TUBB	RPLP2	0.368054506296268	Genes	Genes	1.07808129630662e-65
39779	TUBB	RPL27A	0.352473888672414	Genes	Genes	5.537755281357741e-60
39780	TUBB	RPS13	0.30271630274813	Genes	Genes	8.151951098316871e-44
39782	TUBB	FAU	0.35631892996163	Genes	Genes	2.30771148643084e-61
39785	TUBB	RPS24	0.303221359472341	Genes	Genes	5.78571249221642e-44
39792	TUBB	GAPDH	0.365698018623267	Genes	Genes	8.23705804196898e-65
39795	TUBB	RPS26	0.340205450828673	Genes	Genes	1.03602884312321e-55
39808	TUBB	TPT1	0.317493293563575	Genes	Genes	2.66458489905951e-48
39814	TUBB	IGHM	0.393998583487807	Genes	Genes	6.083153405198089e-76
39819	TUBB	RPLP1	0.368894775904288	Genes	Genes	5.19964669764931e-66
39830	TUBB	RPL13	0.390633109577676	Genes	Genes	1.4704732880267901e-74
39832	TUBB	RPS2	0.366743945199972	Genes	Genes	3.3461732827184603e-65
39836	TUBB	RPL23	0.333805357714211	Genes	Genes	1.47679223707069e-53
39838	TUBB	RPL27	0.348018383730856	Genes	Genes	2.07435296744973e-58
39843	TUBB	RPL19	0.339388022300529	Genes	Genes	1.96539587218502e-55
39848	TUBB	RPL38	0.357104150679782	Genes	Genes	1.1995910404217202e-61
39854	TUBB	RPS21	0.367397840961069	Genes	Genes	1.9032098476466102e-65
39863	TUBB	RPS16	0.403808314496147	Genes	Genes	4.56912291158562e-80
39865	TUBB	RPL28	0.399878770237238	Genes	Genes	2.12713780911993e-78
39868	TUBB	RPS15	0.368824571026815	Genes	Genes	5.526889305723809e-66
39869	TUBB	RPS28	0.408836349200825	Genes	Genes	3.10035801710159e-82
39870	TUBB	RPL18	0.369591917958892	Genes	Genes	2.83056122801652e-66
39871	TUBB	RPS11	0.376101948583342	Genes	Genes	9.008890912287847e-69
39875	TUBB	RPL13A	0.346648324029997	Genes	Genes	6.244142151508951e-58
39879	TUBB	RPS9	0.30804834317659	Genes	Genes	2.09798620479568e-45
39881	TUBB	UBA52	0.332964148032933	Genes	Genes	2.81023561150873e-53
39882	TUBB	RPL36	0.391832474959682	Genes	Genes	4.74650579525455e-75
39891	TUBB	RPS19	0.386262334738252	Genes	Genes	8.68056159611545e-73
39893	TUBB	RPS5	0.362177743263105	Genes	Genes	1.6720805612296902e-63
39900	TUBB	IGLV2-14	0.338430122552487	Genes	Genes	4.14527227903509e-55
39902	TUBB	IGLC2	0.393787571637499	Genes	Genes	7.436001064110678e-76
39906	TUBB	MT-ND1	0.303557172752668	Genes	Genes	4.602690069424241e-44
39907	TUBB	MT-ND2	0.359230518533651	Genes	Genes	2.01852982104017e-62
39908	TUBB	MT-CO1	0.330118911612405	Genes	Genes	2.43056042042398e-52
39909	TUBB	MT-CO2	0.346557937136464	Genes	Genes	6.714801333210351e-58
39911	TUBB	MT-ATP6	0.355186330449439	Genes	Genes	5.9079674758757604e-61
39912	TUBB	MT-CO3	0.34954159716445	Genes	Genes	6.05111027140217e-59
39913	TUBB	MT-ND3	0.359332247325715	Genes	Genes	1.8530923711069704e-62
39914	TUBB	MT-ND4	0.329152047189295	Genes	Genes	5.0375986174337404e-52
40339	RPL10A	RPS18	0.401376232499683	Genes	Genes	4.95142818209831e-79
40341	RPL10A	HLA-C	0.374520366419176	Genes	Genes	3.68362181723099e-68
40342	RPL10A	HLA-B	0.448373446093588	Genes	Genes	1.20642193893022e-100
40343	RPL10A	RPS10	0.308178018062123	Genes	Genes	1.91869877487555e-45
40347	RPL10A	NDUFB2	0.300612754727905	Genes	Genes	3.3793878223598897e-43
40348	RPL10A	ATP5MF	0.342767414327372	Genes	Genes	1.37605473968092e-56
40349	RPL10A	ACTB	0.416062269193682	Genes	Genes	2.04966487518919e-85
40350	RPL10A	PPIA	0.377918838703385	Genes	Genes	1.76451759053643e-69
40356	RPL10A	RPL10	0.37001999117633	Genes	Genes	1.94733713458809e-66
40360	RPL10A	RPS4X	0.394569396687965	Genes	Genes	3.53532761563694e-76
40361	RPL10A	RPL30	0.435751247997798	Genes	Genes	1.7014137930180699e-94
40363	RPL10A	RPS20	0.403987930652739	Genes	Genes	3.82879999625686e-80
40366	RPL10A	RPL8	0.45807996484412	Genes	Genes	1.46907291472347e-105
40370	RPL10A	RPL35	0.491903923606582	Genes	Genes	5.5313362059328795e-124
40371	RPL10A	RPL12	0.406571285970974	Genes	Genes	2.9681812643819596e-81
40373	RPL10A	RPL7A	0.47413330065721	Genes	Genes	4.82939734583705e-114
40374	RPL10A	RPS6	0.474851405557035	Genes	Genes	1.96719239953818e-114
40377	RPL10A	RPS3	0.478172563879142	Genes	Genes	3.00388847774987e-116
40378	RPL10A	RPLP2	0.47884195515174	Genes	Genes	1.2864248909280398e-116
40380	RPL10A	COX8A	0.328102136341358	Genes	Genes	1.10934289707125e-51
40381	RPL10A	CFL1	0.311371343823966	Genes	Genes	2.0646440405919702e-46
40382	RPL10A	RPS25	0.376417388078121	Genes	Genes	6.78923204350396e-69
40383	RPL10A	GSTP1	0.358986772971487	Genes	Genes	2.4774049912783897e-62
40384	RPL10A	RPL27A	0.445395040234422	Genes	Genes	3.6011400890954e-99
40385	RPL10A	RPS13	0.421405229484394	Genes	Genes	8.107859707514231e-88
40387	RPL10A	FAU	0.423080527601486	Genes	Genes	1.3999564227948102e-88
40390	RPL10A	RPS24	0.414717862816207	Genes	Genes	8.0925898559803e-85
40393	RPL10A	TUBA1B	0.303737562575288	Genes	Genes	4.0707856322618704e-44
40397	RPL10A	GAPDH	0.414372567283002	Genes	Genes	1.1513831461055499e-84
40400	RPL10A	RPS26	0.413152260946617	Genes	Genes	3.9854409998488894e-84
40406	RPL10A	RPL6	0.37951136658966	Genes	Genes	4.1961059209434695e-70
40408	RPL10A	RAN	0.346095295022002	Genes	Genes	9.729216892938941e-58
40409	RPL10A	RPLP0	0.393544988445723	Genes	Genes	9.364833943074411e-76
40413	RPL10A	TPT1	0.394004016995343	Genes	Genes	6.05180800717043e-76
40414	RPL10A	TCL1A	0.345467036378268	Genes	Genes	1.60765161470839e-57
40419	RPL10A	IGHM	0.499146975296899	Genes	Genes	3.2523163179936097e-128
40420	RPL10A	RPS29	0.368459861987979	Genes	Genes	7.57988403473566e-66
40424	RPL10A	RPLP1	0.460156926540758	Genes	Genes	1.24387094439051e-106
40425	RPL10A	SERF2	0.334110087335164	Genes	Genes	1.16914885511096e-53
40426	RPL10A	RPL4	0.373088844457432	Genes	Genes	1.31026088912074e-67
40427	RPL10A	RPS17	0.303174051219084	Genes	Genes	5.973147152216119e-44
40431	RPL10A	RPS15A	0.384217696146836	Genes	Genes	5.73174172371881e-72
40435	RPL10A	RPL13	0.459611164793942	Genes	Genes	2.38681541912486e-106
40437	RPL10A	RPS2	0.489757757645605	Genes	Genes	9.46132329235782e-123
40440	RPL10A	COX4I1	0.364939485254014	Genes	Genes	1.5800853713602e-64
40441	RPL10A	RPL23	0.381093704071313	Genes	Genes	9.99201028438124e-71
40443	RPL10A	RPL27	0.454603815406178	Genes	Genes	8.839118403877669e-104
40448	RPL10A	RPL19	0.428968810766592	Genes	Genes	2.6854342167220104e-91
40452	RPL10A	EIF1	0.300582792684579	Genes	Genes	3.4481458556403106e-43
40453	RPL10A	RPL38	0.427239848609521	Genes	Genes	1.71078354427062e-90
40454	RPL10A	PFN1	0.353773297481617	Genes	Genes	1.9023607800774402e-60
40459	RPL10A	RPS21	0.471053571590391	Genes	Genes	2.22335931942099e-112
40468	RPL10A	RPS16	0.487230141080862	Genes	Genes	2.60384817211332e-121
40470	RPL10A	RPL28	0.50070941583913	Genes	Genes	3.86240719359291e-129
40473	RPL10A	RPS15	0.432599776006801	Genes	Genes	5.3249310077635805e-93
40474	RPL10A	RPS28	0.5120052746649131	Genes	Genes	5.63052006771613e-136
40475	RPL10A	RPL18	0.475952169621783	Genes	Genes	4.94095914168363e-115
40476	RPL10A	RPS11	0.467604922408526	Genes	Genes	1.54950378312611e-110
40480	RPL10A	RPL13A	0.474720510007467	Genes	Genes	2.3177437935967198e-114
40484	RPL10A	RPS9	0.39160920130219	Genes	Genes	5.86340566203301e-75
40485	RPL10A	SNRPD2	0.354046121890126	Genes	Genes	1.51859520144083e-60
40486	RPL10A	UBA52	0.42282068067142	Genes	Genes	1.84010269243501e-88
40487	RPL10A	RPL36	0.462327501489516	Genes	Genes	9.27961956896691e-108
40489	RPL10A	EEF2	0.334185173724225	Genes	Genes	1.10361824864885e-53
40494	RPL10A	RPL18A	0.344251263300947	Genes	Genes	4.23800545562984e-57
40495	RPL10A	OAZ1	0.311017707427375	Genes	Genes	2.64656609373162e-46
40496	RPL10A	RPS19	0.472052901859921	Genes	Genes	6.4550020910793e-113
40497	RPL10A	CD79A	0.359564131145687	Genes	Genes	1.5255017604046303e-62
40498	RPL10A	RPS5	0.451726677749267	Genes	Genes	2.53074149980908e-102
40500	RPL10A	RPL3	0.361642115443408	Genes	Genes	2.63541433504022e-63
40503	RPL10A	MIF	0.362577950844089	Genes	Genes	1.19000397411496e-63
40505	RPL10A	IGLV2-14	0.415591950342985	Genes	Genes	3.31804642553127e-85
40506	RPL10A	SMARCB1	0.308783436546429	Genes	Genes	1.2602674342691701e-45
40507	RPL10A	IGLC2	0.486264710552539	Genes	Genes	9.165657891495959e-121
40508	RPL10A	IGLC3	0.307130902606052	Genes	Genes	3.95844223390815e-45
40511	RPL10A	MT-ND1	0.344025531771777	Genes	Genes	5.07074954292158e-57
40512	RPL10A	MT-ND2	0.472673101835166	Genes	Genes	2.98618275692026e-113
40513	RPL10A	MT-CO1	0.41486870497823	Genes	Genes	6.93630988714437e-85
40514	RPL10A	MT-CO2	0.440948671587212	Genes	Genes	5.36797990875151e-97
40516	RPL10A	MT-ATP6	0.470787899530498	Genes	Genes	3.084922186660629e-112
40517	RPL10A	MT-CO3	0.447691366122448	Genes	Genes	2.63197550173068e-100
40518	RPL10A	MT-ND3	0.468199608826995	Genes	Genes	7.489349362274401e-111
40519	RPL10A	MT-ND4	0.412340007601726	Genes	Genes	9.082060920688561e-84
40521	RPL10A	MT-CYB	0.397598686392107	Genes	Genes	1.9326897116528496e-77
40882	RPL10A	Granularity_2_Cy5	0.305249821995909	Genes	CP features	1.44748996148872e-44
40898	RPL10A	Intensity_IntegratedIntensity_Cy5	0.304503667720044	Genes	CP features	2.41095734580615e-44
40921	RPL10A	Texture_DifferenceEntropy_Cy5_3_00_256	0.307154353041832	Genes	CP features	3.89522139546919e-45
40922	RPL10A	Texture_DifferenceEntropy_Cy5_3_01_256	0.308733412823387	Genes	CP features	1.3046636290039e-45
40923	RPL10A	Texture_DifferenceEntropy_Cy5_3_02_256	0.303002025929421	Genes	CP features	6.715836749421489e-44
40924	RPL10A	Texture_DifferenceEntropy_Cy5_3_03_256	0.310323934487937	Genes	CP features	4.3059366763467604e-46
40933	RPL10A	Texture_Entropy_Cy5_3_00_256	0.318541286581773	Genes	CP features	1.25203102291572e-48
40934	RPL10A	Texture_Entropy_Cy5_3_01_256	0.319332182093017	Genes	CP features	7.068905244348129e-49
40935	RPL10A	Texture_Entropy_Cy5_3_02_256	0.317805213195032	Genes	CP features	2.1288752031475905e-48
40936	RPL10A	Texture_Entropy_Cy5_3_03_256	0.317958988794594	Genes	CP features	1.90600005511155e-48
40953	RPL10A	Texture_SumEntropy_Cy5_3_00_256	0.311277354344062	Genes	CP features	2.2055800619061803e-46
40954	RPL10A	Texture_SumEntropy_Cy5_3_01_256	0.313877242443454	Genes	CP features	3.5226968425118903e-47
40955	RPL10A	Texture_SumEntropy_Cy5_3_02_256	0.311740722938783	Genes	CP features	1.5916230234039001e-46
40956	RPL10A	Texture_SumEntropy_Cy5_3_03_256	0.312579114031401	Genes	CP features	8.820581249099171e-47
40965	RPL10A	Texture_SumVariance_Cy5_3_00_256	0.302297679966535	Genes	CP features	1.08340993751554e-43
40966	RPL10A	Texture_SumVariance_Cy5_3_01_256	0.305631199083282	Genes	CP features	1.1139026619687501e-44
40967	RPL10A	Texture_SumVariance_Cy5_3_02_256	0.304011767685145	Genes	CP features	3.37724119522447e-44
40968	RPL10A	Texture_SumVariance_Cy5_3_03_256	0.30298912014184	Genes	CP features	6.774528983384709e-44
40977	RPL10A	Texture_Variance_Cy5_3_00_256	0.302274689673589	Genes	CP features	1.10042048030205e-43
40978	RPL10A	Texture_Variance_Cy5_3_01_256	0.303337386978896	Genes	CP features	5.34669266325799e-44
40979	RPL10A	Texture_Variance_Cy5_3_02_256	0.301719903697059	Genes	CP features	1.6019051837950099e-43
40980	RPL10A	Texture_Variance_Cy5_3_03_256	0.30283932954792	Genes	CP features	7.498683014596191e-44
40985	RPS18	SNHG5	0.344500087277868	Genes	Genes	3.47645363108286e-57
40986	RPS18	HLA-C	0.39386057119012	Genes	Genes	6.93825440120937e-76
40987	RPS18	HLA-B	0.481854053928824	Genes	Genes	2.74642117801975e-118
40988	RPS18	RPS10	0.305311516547538	Genes	Genes	1.3876416420327e-44
40991	RPS18	CHCHD2	0.315112852595131	Genes	Genes	1.46447205554588e-47
40992	RPS18	NDUFB2	0.309384267076686	Genes	Genes	8.30009497461302e-46
40993	RPS18	ATP5MF	0.356994387432623	Genes	Genes	1.31413758270276e-61
40994	RPS18	ACTB	0.470958511618014	Genes	Genes	2.4985749574210797e-112
40995	RPS18	PPIA	0.377682797539006	Genes	Genes	2.18109347633253e-69
41000	RPS18	SLC25A6	0.307595073652473	Genes	Genes	2.87129749732571e-45
41001	RPS18	RPL10	0.423998644794238	Genes	Genes	5.32387017935707e-89
41005	RPS18	RPS4X	0.415425325042621	Genes	Genes	3.93274456686211e-85
41006	RPS18	RPL30	0.479562388261847	Genes	Genes	5.1438158028246805e-117
41008	RPS18	RPS20	0.448447809734228	Genes	Genes	1.10789480788994e-100
41011	RPS18	RPL8	0.5110273042151421	Genes	Genes	2.2527288350874505e-135
41015	RPS18	RPL35	0.535248661752829	Genes	Genes	6.87850104038577e-151
41016	RPS18	RPL12	0.470736976455163	Genes	Genes	3.284661521191409e-112
41018	RPS18	RPL7A	0.5302834460562821	Genes	Genes	1.33352454844508e-147
41019	RPS18	RPS6	0.528172364089338	Genes	Genes	3.20372049539374e-146
41022	RPS18	RPS3	0.5120076011565591	Genes	Genes	5.6126603646381194e-136
41023	RPS18	RPLP2	0.533236973774196	Genes	Genes	1.4985476448017002e-149
41024	RPS18	POLR2L	0.302667637545177	Genes	Genes	8.4262903252001205e-44
41025	RPS18	COX8A	0.348347991221372	Genes	Genes	1.5900263218040601e-58
41026	RPS18	CFL1	0.361414247111671	Genes	Genes	3.19640878397449e-63
41027	RPS18	RPS25	0.394842824100316	Genes	Genes	2.7230951687855797e-76
41028	RPS18	GSTP1	0.373875675315937	Genes	Genes	6.5298206019116604e-68
41029	RPS18	RPL27A	0.493708085893659	Genes	Genes	5.004536262623979e-125
41030	RPS18	RPS13	0.435826264760228	Genes	Genes	1.5666539340288298e-94
41032	RPS18	FAU	0.472434776105851	Genes	Genes	4.0169197890032097e-113
41035	RPS18	RPS24	0.454407303263747	Genes	Genes	1.1121844029561099e-103
41038	RPS18	TUBA1B	0.321395024493968	Genes	Genes	1.58280920014468e-49
41042	RPS18	GAPDH	0.5033136617208971	Genes	Genes	1.08096552068472e-130
41045	RPS18	RPS26	0.437406722564134	Genes	Genes	2.7486672781504302e-95
41047	RPS18	RPL41	0.31009852636606	Genes	Genes	5.0420386037368095e-46
41051	RPS18	RPL6	0.416944883416977	Genes	Genes	8.275179807643291e-86
41053	RPS18	RAN	0.354638540123574	Genes	Genes	9.30327359805938e-61
41054	RPS18	RPLP0	0.425832260859447	Genes	Genes	7.65218696869339e-90
41058	RPS18	TPT1	0.448301219016763	Genes	Genes	1.31067525733307e-100
41059	RPS18	TCL1A	0.342622470853239	Genes	Genes	1.5432364205031202e-56
41064	RPS18	IGHM	0.551383505648904	Genes	Genes	5.810579091279049e-162
41065	RPS18	RPS29	0.433976663595539	Genes	Genes	1.1887945686171598e-93
41069	RPS18	RPLP1	0.5002944355215271	Genes	Genes	6.811008733527089e-129
41070	RPS18	SERF2	0.35337542029313	Genes	Genes	2.6394040957852203e-60
41071	RPS18	RPL4	0.425219213194351	Genes	Genes	1.46628976781252e-89
41072	RPS18	RPS17	0.339150913570788	Genes	Genes	2.3645846094354e-55
41076	RPS18	RPS15A	0.40993936750325	Genes	Genes	1.02544944040797e-82
41080	RPS18	RPL13	0.534577509046518	Genes	Genes	1.9274106465358002e-150
41081	RPS18	ELOB	0.301559559090396	Genes	Genes	1.7848252013020405e-43
41082	RPS18	RPS2	0.5519496074276771	Genes	Genes	2.31520206824622e-162
41085	RPS18	COX4I1	0.404908869568115	Genes	Genes	1.54182341788316e-80
41086	RPS18	RPL23	0.400242805376262	Genes	Genes	1.49376109038053e-78
41088	RPS18	RPL27	0.485427202774444	Genes	Genes	2.7251555293758203e-120
41093	RPS18	RPL19	0.5040732643649161	Genes	Genes	3.78086752653439e-131
41098	RPS18	RPL38	0.490147583415035	Genes	Genes	5.6584562147056195e-123
41099	RPS18	PFN1	0.384864137338958	Genes	Genes	3.15839068940434e-72
41100	RPS18	CD79B	0.300786680643752	Genes	Genes	3.0057729674242603e-43
41104	RPS18	RPS21	0.5245641923520561	Genes	Genes	6.94461779085736e-144
41105	RPS18	ATP5F1E	0.321847138519473	Genes	Genes	1.13732644678662e-49
41107	RPS18	ROMO1	0.302433744210804	Genes	Genes	9.877011684641891e-44
41113	RPS18	RPS16	0.5628545327495861	Genes	Genes	3.23510393149394e-170
41115	RPS18	RPL28	0.52872850755792	Genes	Genes	1.3888289285112801e-146
41117	RPS18	UBL5	0.32544043110366	Genes	Genes	8.06539501059886e-51
41118	RPS18	RPS15	0.477179101926688	Genes	Genes	1.0544425066474198e-115
41119	RPS18	RPS28	0.56456388209008	Genes	Genes	1.79140561897937e-171
41120	RPS18	RPL18	0.5167264807202251	Genes	Genes	6.56581881110608e-139
41121	RPS18	RPS11	0.524312482648295	Genes	Genes	1.00753046030796e-143
41125	RPS18	RPL13A	0.5179880044378941	Genes	Genes	1.06010070053074e-139
41129	RPS18	RPS9	0.474121150212897	Genes	Genes	4.9027441869667e-114
41130	RPS18	SNRPD2	0.357029492012237	Genes	Genes	1.2762924907461702e-61
41131	RPS18	UBA52	0.475129534432664	Genes	Genes	1.3889648370920202e-114
41132	RPS18	RPL36	0.501051573675378	Genes	Genes	2.4212478442228095e-129
41134	RPS18	EEF2	0.341803507868541	Genes	Genes	2.9474390735468308e-56
41135	RPS18	FBL	0.311604527003541	Genes	Genes	1.7520059094718803e-46
41139	RPS18	RPL18A	0.370698112634612	Genes	Genes	1.07564892802441e-66
41140	RPS18	OAZ1	0.352279431786948	Genes	Genes	6.49182143710684e-60
41141	RPS18	RPS19	0.556172215712595	Genes	Genes	2.28276867235851e-165
41142	RPS18	CD79A	0.380411768497362	Genes	Genes	1.85756030776656e-70
41143	RPS18	RPS5	0.486572250109492	Genes	Genes	6.141642166103318e-121
41145	RPS18	RPL3	0.382222694438066	Genes	Genes	3.5669889406488495e-71
41148	RPS18	MIF	0.382189132918733	Genes	Genes	3.6782083682119895e-71
41149	RPS18	IGLV2-23	0.301419697675277	Genes	Genes	1.96162799845889e-43
41150	RPS18	IGLV2-14	0.437272053569866	Genes	Genes	3.1896201129806696e-95
41151	RPS18	SMARCB1	0.325223768667546	Genes	Genes	9.46910681148715e-51
41152	RPS18	IGLC2	0.5143582136879741	Genes	Genes	1.96569959264666e-137
41153	RPS18	IGLC3	0.343791235913478	Genes	Genes	6.10916414082569e-57
41155	RPS18	SOD1	0.328181197618808	Genes	Genes	1.04554534946411e-51
41156	RPS18	MT-ND1	0.363016068921075	Genes	Genes	8.19048587594463e-64
41157	RPS18	MT-ND2	0.5051189267192321	Genes	Genes	8.88396833238254e-132
41158	RPS18	MT-CO1	0.446001258429486	Genes	Genes	1.81012396036485e-99
41159	RPS18	MT-CO2	0.481671634031254	Genes	Genes	3.46991378406423e-118
41160	RPS18	MT-ATP8	0.306495654072677	Genes	Genes	6.139709600247869e-45
41161	RPS18	MT-ATP6	0.513764439458687	Genes	Genes	4.5927711352364195e-137
41162	RPS18	MT-CO3	0.488675161407259	Genes	Genes	3.9313447945631097e-122
41163	RPS18	MT-ND3	0.5193965387907571	Genes	Genes	1.3720409906675298e-140
41164	RPS18	MT-ND4	0.47047612151328	Genes	Genes	4.5368203660318905e-112
41166	RPS18	MT-CYB	0.452937137969046	Genes	Genes	6.19425111931439e-103
41559	RPS18	Granularity_1_Cy5	0.328485041526524	Genes	CP features	8.32170561041076e-52
41562	RPS18	Granularity_2_Cy5	0.317126110147318	Genes	CP features	3.47153424592816e-48
41580	RPS18	Intensity_IntegratedIntensity_Cy5	0.341914657829354	Genes	CP features	2.70001976867046e-56
